ID_PAC |idcliente| nombre_Cte|FECHA_AUT_PAC|PLAZO LÍNEA |FECHA VENCIMIENTO | MONTO (SALDO) | TOTAL LINEAS BANCO  |DÍAS  VENCIDO|MES DE VENCIMIENTO |NO. EMPLEADO|ESTATUS LINEA
6960|10|ADMINISTRACION D EJE S.A.de C.V. |20/07/2016|12|20/07/2017|$4,661,161| 5,000,000 |-202|julio|B01296|717810003
8269|1000111252|AGROINSUMOS EL FIELD S.R.L. de C.V. |21/07/2016|12|21/07/2017|$2,072,900| 15,000,000 |-201|julio|B01661|717810003
9816|1000000299|AGROPECUARIA FONGAR S.P.R. de R.L. |21/04/2017|12|21/04/2018|$1,501,986| 5,000,000 |73|abril|B01518|717810003
9395|1000031485|APARATOS ELECTROMECANICOS VON HAUCKE S.A.de C.V. |18/01/2017|12|18/01/2018|$11,231,124| 28,859,000 |-20|enero|100|717810003
6555|1000002483|Asecred Unión de Crédito   S.A.de C.V. |19/10/2015|12|19/10/2016|$7,815,757| 20,000,000 |-476|octubre|B01296|717810003
8688|1000116165|Asociación de Usuarios de la Unidad de Riego Rio Santiago Margen Derecha del Distrito de Riego Num 043 del Estado de Nayarit A.C. |03/10/2016|12|03/10/2017|| 3,500,000 |-127|octubre|B00779|0
8892|20|CAJA SOLIDARIA JOSE CARRILLO GARCIA S.C. de A.P. de R.L. de C.V. |26/10/2016|12|26/10/2017|| 18,000,000 |-104|octubre|15|0
8113|1000002047|CAJA SOLIDARIA NUEVO IDEAL S.C. de R.L. de C.V. |04/07/2016|12|04/07/2017|$3,833,716| 18,410,000 |-218|julio|B01518|0
8043|1000110232|COMERCIALIZADORA DE ALIMENTOS GRAND S.A.de C.V. |21/06/2016|12|21/06/2017|$1,873,532| 4,000,000 |-231|junio|B01643|0
9899|1000135473|CORPORACION EN INVESTIGACION TECNOLOGICA E INFORMATICA S.A.P.I de C.V. |03/04/2017|12|03/04/2018|| 10,000,000 |55|abril|B01643|0
9384|1000109172|CORPORATIVO PROMEDICA DE MEXICO S.A.de C.V. |23/01/2017|12|23/01/2018|$8,094,464| 9,222,000 |-15|enero|B01296|0
9504|1000030828|CORRALES DON NETO S.P.R. de R.L. |15/05/2017|12|15/05/2018|$6,924,534| 6,888,000 |97|mayo|B01518|0
9505|1000029135|CORRALES LA AUTOPISTA S.P.R. de R.L. |12/05/2017|12|12/05/2018|$7,807,061| 7,500,000 |94|mayo|B01518|0
